#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-busy-24-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.0148262 seconds
Distributing the actor graph took: 39.6484 seconds
Added actors in: 0.108431 seconds.
Initialized connections of actors in: 0.0522146 seconds.
Async Migration only
Output number: 1, Rank-10: (1) 3 | (2) 1081 | (3)0.277521/100 | (4) 34, 34 | (5) 3.60004 | (6) 80.4791 | (7) 0.00014882 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (34, 34) | (18) X | (19) (98090, 98090) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 12.6542 | (25) (0.48524, 126-32) | (26) 44813
Output number: 1, Rank-2: (1) 2 | (2) 927 | (3)0.21575/100 | (4) 33, 33 | (5) 3.49147 | (6) 81.3957 | (7) 0.000143795 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (33, 33) | (18) X | (19) (96184, 96184) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 12.3111 | (25) (0.49422, 137-31) | (26) 24716
Output number: 1, Rank-3: (1) 3 | (2) 817 | (3)0.367197/100 | (4) 34, 34 | (5) 3.58066 | (6) 81.9002 | (7) 0.000130945 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.2222/100 | (15) 0 | (17) (34, 34) | (18) X | (19) (97075, 97075) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 12.9661 | (25) (0.42002, 131-31) | (26) 28324
Output number: 1, Rank-4: (1) 0 | (2) 418 | (3)0/100 | (4) 30, 30 | (5) 3.50228 | (6) 81.1271 | (7) 0.000149022 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (30, 30) | (18) X | (19) (93375, 93375) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.1225 | (25) (0.47477, 135-32) | (26) 50211
Output number: 1, Rank-1: (1) 0 | (2) 407 | (3)0/100 | (4) 31, 31 | (5) 3.58876 | (6) 82.2449 | (7) 8.3287e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.2222/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (95357, 95357) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.532 | (25) (0.42866, 125-37) | (26) 49768
Output number: 1, Rank-8: (1) 25 | (2) 1398 | (3)1.78827/100 | (4) 46, 46 | (5) 30.7188 | (6) 69.4551 | (7) 0.000158614 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55.5556/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (112051, 112051) | (20) 1 | (21) 0 | (22) 0 | (23) 16 | (24) 502.347 | (25) (33.0605, 139-16) | (26) 1
Output number: 1, Rank-22: (1) 9 | (2) 551 | (3)1.63339/100 | (4) 14, 14 | (5) 167.621 | (6) 5.05488 | (7) 0.000118739 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 95.5556/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (47833, 47833) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 492.139 | (25) (35.844, 140-0) | (26) 15867
Output number: 1, Rank-26: (1) 13 | (2) 699 | (3)1.8598/100 | (4) 15, 15 | (5) 164.327 | (6) 6.5845 | (7) 0.000135736 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 94.4444/100 | (15) 0 | (17) (15, 15) | (18) X | (19) (50774, 50774) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 493.257 | (25) (33.46, 143-13) | (26) 1
Output number: 1, Rank-435: (1) 14 | (2) 876 | (3)1.59817/100 | (4) 15, 15 | (5) 165.728 | (6) 5.27994 | (7) 0.000114415 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 95/100 | (15) 0 | (17) (15, 15) | (18) X | (19) (49805, 49805) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 498.351 | (25) (33.4638, 67-73) | (26) 1884
Output number: 1, Rank-374: (1) 1 | (2) 603 | (3)0.165837/100 | (4) 32, 32 | (5) 3.47559 | (6) 80.0918 | (7) 0.000160093 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.1111/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (96869, 96869) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.1384 | (25) (0.3976, 36-124) | (26) 176696
Output number: 1, Rank-346: (1) 14 | (2) 1157 | (3)1.21003/100 | (4) 45, 45 | (5) 3.95586 | (6) 80.963 | (7) 0.000227212 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (106885, 106885) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 15.9797 | (25) (0.40813, 35-136) | (26) 134507
Output number: 1, Rank-446: (1) 62 | (2) 1607 | (3)3.85812/100 | (4) 89, 89 | (5) 6.43254 | (6) 78.4853 | (7) 0.000170683 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (89, 89) | (18) X | (19) (154194, 154194) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.8234 | (25) (32.7103, 68-91) | (26) 648
Output number: 1, Rank-5: (1) 25 | (2) 1413 | (3)1.76929/100 | (4) 56, 56 | (5) 3.94729 | (6) 81.1281 | (7) 9.0924e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 47.2222/100 | (15) 0 | (17) (56, 56) | (18) X | (19) (106083, 106083) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 20.9098 | (25) (0.44927, 124-20) | (26) 288
Output number: 1, Rank-6: (1) 36 | (2) 1535 | (3)2.34528/100 | (4) 46, 46 | (5) 74.2191 | (6) 48.6575 | (7) 0.000177171 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 67.7778/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (131080, 131080) | (20) 1 | (21) 0 | (22) 0 | (23) 7 | (24) 476.586 | (25) (33.5726, 136-12) | (26) 1
Output number: 1, Rank-7: (1) 26 | (2) 1542 | (3)1.68612/100 | (4) 57, 57 | (5) 7.62422 | (6) 78.9442 | (7) 0.000119361 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 47.7778/100 | (15) 0 | (17) (57, 57) | (18) X | (19) (110560, 110560) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 248.83 | (25) (33.6818, 134-15) | (26) 1
Output number: 1, Rank-9: (1) 46 | (2) 1273 | (3)3.61351/100 | (4) 26, 26 | (5) 75.0575 | (6) 47.81 | (7) 0.000124258 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 67.7778/100 | (15) 0 | (17) (26, 26) | (18) X | (19) (122393, 122393) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 498.918 | (25) (33.3884, 139-14) | (26) 1
Output number: 1, Rank-17: (1) 73 | (2) 1194 | (3)6.1139/100 | (4) 34, 34 | (5) 66.4853 | (6) 51.9072 | (7) 9.0694e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 65.5556/100 | (15) 0 | (17) (34, 34) | (18) X | (19) (140919, 140919) | (20) 1 | (21) 0 | (22) 0 | (23) 7 | (24) 470.855 | (25) (33.6592, 129-9) | (26) 1
Output number: 1, Rank-21: (1) 14 | (2) 1134 | (3)1.23457/100 | (4) 14, 14 | (5) 163.358 | (6) 7.34337 | (7) 0.000110991 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 94.4444/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (49091, 49091) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 479.44 | (25) (35.1134, 132-6) | (26) 1
Output number: 1, Rank-23: (1) 18 | (2) 805 | (3)2.23602/100 | (4) 15, 15 | (5) 165.058 | (6) 6.41305 | (7) 0.000203837 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 95/100 | (15) 0 | (17) (15, 15) | (18) X | (19) (50477, 50477) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 491.274 | (25) (33.0941, 140-10) | (26) 1
Output number: 1, Rank-24: (1) 17 | (2) 394 | (3)4.31472/100 | (4) 14, 14 | (5) 167.225 | (6) 5.14073 | (7) 0.000219457 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.004 | (14) 95.5556/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (50719, 50719) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 470.66 | (25) (44.433, 139-2) | (26) 1
Output number: 1, Rank-25: (1) 6 | (2) 523 | (3)1.14723/100 | (4) 14, 14 | (5) 167.738 | (6) 5.15985 | (7) 0.000161322 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 95.5556/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (50693, 50693) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 464.096 | (25) (33.35, 143-0) | (26) 1
Output number: 1, Rank-27: (1) 35 | (2) 877 | (3)3.99088/100 | (4) 14, 14 | (5) 151.602 | (6) 12.5474 | (7) 0.000197445 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 91.1111/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (82466, 82466) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 460.369 | (25) (34.7287, 138-17) | (26) 1
Output number: 1, Rank-217: (1) 0 | (2) 438 | (3)0/100 | (4) 31, 31 | (5) 3.35543 | (6) 81.0134 | (7) 0.000180814 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (94489, 94489) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 10.6601 | (25) (0.40975, 27-55) | (26) 10957
Output number: 1, Rank-521: (1) 0 | (2) 266 | (3)0/100 | (4) 31, 31 | (5) 3.57076 | (6) 81.5732 | (7) 0.000183471 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.2222/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (95203, 95203) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.7524 | (25) (0.4519, 111-128) | (26) 19511
Output number: 1, Rank-134: (1) 0 | (2) 811 | (3)0/100 | (4) 31, 31 | (5) 3.38751 | (6) 82.0352 | (7) 0.000142173 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.2222/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (94355, 94355) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.0274 | (25) (0.40316, 111-72) | (26) 2697
Output number: 1, Rank-382: (1) 0 | (2) 1192 | (3)0/100 | (4) 31, 31 | (5) 3.41435 | (6) 82.5105 | (7) 0.000155806 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.2222/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (95656, 95656) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 10.8225 | (25) (0.39176, 41-135) | (26) 2
Output number: 1, Rank-542: (1) 1 | (2) 735 | (3)0.136054/100 | (4) 32, 32 | (5) 3.42568 | (6) 81.9504 | (7) 0.000228644 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.2222/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (96209, 96209) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 10.4439 | (25) (0.41251, 130-114) | (26) 14029
Output number: 1, Rank-245: (1) 0 | (2) 810 | (3)0/100 | (4) 31, 31 | (5) 3.17486 | (6) 82.9069 | (7) 0.000158844 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.7778/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (95225, 95225) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 9.98589 | (25) (0.37455, 8-45) | (26) 16607
Output number: 1, Rank-257: (1) 0 | (2) 1451 | (3)0/100 | (4) 29, 29 | (5) 3.31755 | (6) 82.4826 | (7) 0.000150587 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.2222/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (90676, 90676) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 10.5576 | (25) (0.41786, 3-34) | (26) 53564
Output number: 1, Rank-471: (1) 0 | (2) 217 | (3)0/100 | (4) 31, 31 | (5) 3.4402 | (6) 80.1641 | (7) 5.3847e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.1111/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (95135, 95135) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 11.8165 | (25) (0.46531, 16-102) | (26) 9
Output number: 1, Rank-447: (1) 10 | (2) 1346 | (3)0.742942/100 | (4) 40, 40 | (5) 3.95117 | (6) 79.6971 | (7) 0.000139736 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.1111/100 | (15) 0 | (17) (40, 40) | (18) X | (19) (99677, 99677) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 15.9777 | (25) (0.58102, 74-104) | (26) 765
Output number: 1, Rank-309: (1) 0 | (2) 657 | (3)0/100 | (4) 31, 31 | (5) 3.29338 | (6) 82.0214 | (7) 0.000176541 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.2222/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (94937, 94937) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 9.379 | (25) (0.36012, 38-26) | (26) 57296
Output number: 1, Rank-491: (1) 7 | (2) 1720 | (3)0.406977/100 | (4) 37, 37 | (5) 3.5242 | (6) 80.6793 | (7) 0.00015182 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (37, 37) | (18) X | (19) (102284, 102284) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 13.0263 | (25) (0.4018, 34-76) | (26) 68419
Output number: 1, Rank-633: (1) 0 | (2) 100 | (3)0/100 | (4) 31, 31 | (5) 3.4183 | (6) 80.6628 | (7) 0.000213191 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (94678, 94678) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.3576 | (25) (0.42256, 125-82) | (26) 3061
Output number: 1, Rank-575: (1) 0 | (2) 1425 | (3)0/100 | (4) 30, 30 | (5) 2.91034 | (6) 79.4564 | (7) 0.000148926 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 45.5556/100 | (15) 0 | (17) (30, 30) | (18) X | (19) (92529, 92529) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 10.0636 | (25) (0.44951, 74-138) | (26) 39494
Output number: 1, Rank-599: (1) 47 | (2) 1588 | (3)2.9597/100 | (4) 34, 34 | (5) 81.8146 | (6) 44.867 | (7) 0.00014551 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70/100 | (15) 0 | (17) (34, 34) | (18) X | (19) (129180, 129180) | (20) 1 | (21) 0 | (22) 0 | (23) 15 | (24) 533.507 | (25) (33.2254, 86-77) | (26) 1
Output number: 1, Rank-72: (1) 1 | (2) 885 | (3)0.112994/100 | (4) 32, 32 | (5) 3.23128 | (6) 82.7669 | (7) 0.000226116 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.2222/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (95259, 95259) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 10.8521 | (25) (0.39029, 83-30) | (26) 1
Output number: 1, Rank-142: (1) 1 | (2) 647 | (3)0.15456/100 | (4) 32, 32 | (5) 3.24584 | (6) 81.5381 | (7) 0.000127963 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (97266, 97266) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 9.16976 | (25) (0.35655, 130-65) | (26) 4013
Output number: 1, Rank-39: (1) 1 | (2) 1680 | (3)0.0595238/100 | (4) 32, 32 | (5) 3.37319 | (6) 81.5081 | (7) 0.000154557 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (95767, 95767) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.3163 | (25) (0.47339, 108-1) | (26) 37045
Output number: 1, Rank-186: (1) 14 | (2) 1542 | (3)0.907912/100 | (4) 45, 45 | (5) 3.78208 | (6) 84.6355 | (7) 0.000153988 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.8889/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (103873, 103873) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 15.5087 | (25) (0.65877, 62-50) | (26) 9328
Output number: 1, Rank-406: (1) 0 | (2) 1169 | (3)0/100 | (4) 30, 30 | (5) 3.09137 | (6) 81.3157 | (7) 0.000153901 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (30, 30) | (18) X | (19) (92906, 92906) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 10.4239 | (25) (0.4497, 47-114) | (26) 1389
Output number: 1, Rank-652: (1) 0 | (2) 657 | (3)0/100 | (4) 31, 31 | (5) 3.33675 | (6) 81.0676 | (7) 0.00016481 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (95162, 95162) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 10.8912 | (25) (0.39547, 124-105) | (26) 87923
Output number: 1, Rank-84: (1) 2 | (2) 1721 | (3)0.116212/100 | (4) 31, 31 | (5) 3.28115 | (6) 82.9177 | (7) 0.000180603 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.7778/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (89730, 89730) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.6454 | (25) (0.47405, 93-40) | (26) 1
Output number: 1, Rank-295: (1) 0 | (2) 271 | (3)0/100 | (4) 31, 31 | (5) 3.43458 | (6) 81.0677 | (7) 0.000161981 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (94341, 94341) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 9.83587 | (25) (0.40866, 71-20) | (26) 7176
Output number: 1, Rank-347: (1) 6 | (2) 1055 | (3)0.56872/100 | (4) 37, 37 | (5) 3.62919 | (6) 80.0263 | (7) 0.000148411 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.1111/100 | (15) 0 | (17) (37, 37) | (18) X | (19) (101815, 101815) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 12.8426 | (25) (0.45275, 31-137) | (26) 172601
Output number: 1, Rank-73: (1) 0 | (2) 562 | (3)0/100 | (4) 31, 31 | (5) 3.23633 | (6) 82.1215 | (7) 0.000187633 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.2222/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (94390, 94390) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 10.6683 | (25) (0.37628, 94-27) | (26) 1
Output number: 1, Rank-143: (1) 0 | (2) 1553 | (3)0/100 | (4) 30, 30 | (5) 3.12314 | (6) 82.0316 | (7) 0.00022234 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.2222/100 | (15) 0 | (17) (30, 30) | (18) X | (19) (91920, 91920) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 9.96898 | (25) (0.41333, 132-64) | (26) 3472
Output number: 1, Rank-40: (1) 4 | (2) 1670 | (3)0.239521/100 | (4) 34, 34 | (5) 3.63427 | (6) 86.9736 | (7) 0.000241646 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 50/100 | (15) 0 | (17) (34, 34) | (18) X | (19) (100364, 100364) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 9.94155 | (25) (0.38733, 111-4) | (26) 1470
